city,data_provider,table,intersection_id,intersection,intersection_name,intersection_lat,intersection_long,publish_timestamp,bin_start_date_time,bin_end_date_time,direction,crosswalk_approach,classification,yellow_light_runners,red_light_runners,original_content
alexandria,miovision,alexandria.safety-pedcompliance,bec6ce8d-823d-4a5c-b0fc-7d5437383c9e,glebe-mount_vernon-dqchymvxt,West Glebe Road and Mount Vernon Avenue,38.83658931,-77.06128548,1775073986426000,1774899600000000,1774899660000000,CW,S,[Pedestrian],2,0,"{binStartDateTime=2026-03-30T19:40:00Z, binEndDateTime=2026-03-30T19:41:00Z, direction=CW, crosswalkApproach=S, classification=Pedestrian, yellowLightRunners=2, redLightRunners=0}"
alexandria,miovision,alexandria.safety-pedcompliance,bec6ce8d-823d-4a5c-b0fc-7d5437383c9e,glebe-mount_vernon-dqchymvxt,West Glebe Road and Mount Vernon Avenue,38.83658931,-77.06128548,1775073986426000,1774899660000000,1774899720000000,CW,W,[Pedestrian],1,0,"{binStartDateTime=2026-03-30T19:41:00Z, binEndDateTime=2026-03-30T19:42:00Z, direction=CW, crosswalkApproach=W, classification=Pedestrian, yellowLightRunners=1, redLightRunners=0}"
alexandria,miovision,alexandria.safety-pedcompliance,bec6ce8d-823d-4a5c-b0fc-7d5437383c9e,glebe-mount_vernon-dqchymvxt,West Glebe Road and Mount Vernon Avenue,38.83658931,-77.06128548,1775073986426000,1774899720000000,1774899780000000,CCW,S,[Pedestrian],2,0,"{binStartDateTime=2026-03-30T19:42:00Z, binEndDateTime=2026-03-30T19:43:00Z, direction=CCW, crosswalkApproach=S, classification=Pedestrian, yellowLightRunners=2, redLightRunners=0}"
alexandria,miovision,alexandria.safety-pedcompliance,bec6ce8d-823d-4a5c-b0fc-7d5437383c9e,glebe-mount_vernon-dqchymvxt,West Glebe Road and Mount Vernon Avenue,38.83658931,-77.06128548,1775073986426000,1774899780000000,1774899840000000,CW,E,[Pedestrian],4,0,"{binStartDateTime=2026-03-30T19:43:00Z, binEndDateTime=2026-03-30T19:44:00Z, direction=CW, crosswalkApproach=E, classification=Pedestrian, yellowLightRunners=4, redLightRunners=0}"
alexandria,miovision,alexandria.safety-pedcompliance,bec6ce8d-823d-4a5c-b0fc-7d5437383c9e,glebe-mount_vernon-dqchymvxt,West Glebe Road and Mount Vernon Avenue,38.83658931,-77.06128548,1775073986426000,1774899780000000,1774899840000000,CCW,W,[Pedestrian],1,0,"{binStartDateTime=2026-03-30T19:43:00Z, binEndDateTime=2026-03-30T19:44:00Z, direction=CCW, crosswalkApproach=W, classification=Pedestrian, yellowLightRunners=1, redLightRunners=0}"
alexandria,miovision,alexandria.safety-pedcompliance,bec6ce8d-823d-4a5c-b0fc-7d5437383c9e,glebe-mount_vernon-dqchymvxt,West Glebe Road and Mount Vernon Avenue,38.83658931,-77.06128548,1775073986427000,1774899840000000,1774899900000000,CCW,S,[Pedestrian],1,0,"{binStartDateTime=2026-03-30T19:44:00Z, binEndDateTime=2026-03-30T19:45:00Z, direction=CCW, crosswalkApproach=S, classification=Pedestrian, yellowLightRunners=1, redLightRunners=0}"
alexandria,miovision,alexandria.safety-pedcompliance,bec6ce8d-823d-4a5c-b0fc-7d5437383c9e,glebe-mount_vernon-dqchymvxt,West Glebe Road and Mount Vernon Avenue,38.83658931,-77.06128548,1775073986427000,1774899900000000,1774899960000000,CCW,W,[Pedestrian],0,1,"{binStartDateTime=2026-03-30T19:45:00Z, binEndDateTime=2026-03-30T19:46:00Z, direction=CCW, crosswalkApproach=W, classification=Pedestrian, yellowLightRunners=0, redLightRunners=1}"
alexandria,miovision,alexandria.safety-pedcompliance,bec6ce8d-823d-4a5c-b0fc-7d5437383c9e,glebe-mount_vernon-dqchymvxt,West Glebe Road and Mount Vernon Avenue,38.83658931,-77.06128548,1775073986427000,1774900020000000,1774900080000000,CW,W,[Pedestrian],1,0,"{binStartDateTime=2026-03-30T19:47:00Z, binEndDateTime=2026-03-30T19:48:00Z, direction=CW, crosswalkApproach=W, classification=Pedestrian, yellowLightRunners=1, redLightRunners=0}"
alexandria,miovision,alexandria.safety-pedcompliance,bec6ce8d-823d-4a5c-b0fc-7d5437383c9e,glebe-mount_vernon-dqchymvxt,West Glebe Road and Mount Vernon Avenue,38.83658931,-77.06128548,1774552827526000,1774378200000000,1774378260000000,CW,S,[Pedestrian],7,0,"{binStartDateTime=2026-03-24T18:50:00Z, binEndDateTime=2026-03-24T18:51:00Z, direction=CW, crosswalkApproach=S, classification=Pedestrian, yellowLightRunners=7, redLightRunners=0}"
alexandria,miovision,alexandria.safety-pedcompliance,bec6ce8d-823d-4a5c-b0fc-7d5437383c9e,glebe-mount_vernon-dqchymvxt,West Glebe Road and Mount Vernon Avenue,38.83658931,-77.06128548,1774552827527000,1774378260000000,1774378320000000,CW,W,[Pedestrian],6,0,"{binStartDateTime=2026-03-24T18:51:00Z, binEndDateTime=2026-03-24T18:52:00Z, direction=CW, crosswalkApproach=W, classification=Pedestrian, yellowLightRunners=6, redLightRunners=0}"
alexandria,miovision,alexandria.safety-pedcompliance,bec6ce8d-823d-4a5c-b0fc-7d5437383c9e,glebe-mount_vernon-dqchymvxt,West Glebe Road and Mount Vernon Avenue,38.83658931,-77.06128548,1774552827527000,1774378380000000,1774378440000000,CW,W,[Pedestrian],1,0,"{binStartDateTime=2026-03-24T18:53:00Z, binEndDateTime=2026-03-24T18:54:00Z, direction=CW, crosswalkApproach=W, classification=Pedestrian, yellowLightRunners=1, redLightRunners=0}"
